interactingUser	interactedUser	timestamp
705964540	81958599	1427889897000
705964540	188114019	1427889897000
357405182	128215040	1427890001000
434349083	38381308	1427890093000
321339167	10228272	1427890542000
1686629078	1949652690	1427890715000
135446759	132240347	1427890737000
135446759	132240347	1427890762000
1686629078	1949652690	1427890845000
1686629078	1949652690	1427890917000
110680768	110680768	1427891008000
1686629078	2641474526	1427891095000
2473785614	2317623414	1427891264000
2893371585	582907105	1427891305000
321339167	10228272	1427891329000
1686629078	222806880	1427891552000
22245616	104339672	1427891737000
280286097	2955158549	1427891881000
127444973	87481093	1427891930000
1686629078	222806880	1427892051000
2893371585	582907105	1427892431000
17595659	57377653	1427892468000
201478619	189906799	1427892534000
310455276	112567773	1427892892000
1686629078	222806880	1427893431000
1686629078	222806880	1427893663000
1686629078	222806880	1427893710000
1191334208	148438368	1427893872000
1606461228	260708432	1427893942000
1686629078	222806880	1427893961000
280682472	803291118	1427894024000
1686629078	222806880	1427894038000
1402420620	222806880	1427894466000
16105712	222806880	1427894508000
2416566950	10228272	1427894621000
2416566950	10228272	1427894650000
1686629078	222806880	1427895050000
3103027871	296228173	1427895107000
203961798	274794931	1427895780000
203961798	362394595	1427895780000
1314469136	10228272	1427896067000
1265697402	61879392	1427896132000
288125977	38381308	1427896149000
16645602	198535580	1427896193000
380904886	1371634332	1427896582000
2575701944	45110535	1427896616000
2575701944	542131244	1427896616000
632147445	385175199	1427896857000
2716865706	1257925873	1427896891000
632147445	385175199	1427896988000
135446759	132240347	1427897055000
2416566950	10228272	1427897203000
398995951	327589146	1427897236000
135446759	132240347	1427897258000
2893371585	82388658	1427897644000
753002065	10228272	1427897718000
2893371585	82388658	1427897803000
1498410624	12189162	1427898041000
1133488128	24150634	1427898150000
1498410624	12189162	1427898151000
753002065	10228272	1427898242000
1498410624	12189162	1427898251000
372259536	84645307	1427898519000
1674317623	2482179392	1427898540000
1674317623	2482179392	1427898672000
1265697402	61879392	1427898696000
1674317623	2482179392	1427898722000
23791197	23791197	1427899067000
260355012	38381308	1427899104000
350842058	479441666	1427899184000
350842058	2340727873	1427899184000
350842058	2340727873	1427899379000
199210114	38381308	1427899431000
86562367	364528766	1427899465000
87287396	81958599	1427899916000
87287396	2239790800	1427899916000
513717650	582907105	1427899918000
2647273435	222806880	1427900285000
321106050	8077212	1427900433000
135446759	2182114176	1427900691000
2647394184	2230540587	1427900708000
504914052	504914052	1427901285000
1036774746	23791197	1427901487000
490190952	1190505763	1427901599000
442198849	912646645	1427901944000
465900851	18905975	1427902002000
122814071	972651	1427902603000
84358380	82136174	1427903110000
369048228	26729931	1427903180000
875110915	366576518	1427903364000
369048228	26729931	1427903397000
369048228	26729931	1427903551000
1584113820	1951445683	1427903620000
2835112109	1593841920	1427903634000
369048228	26729931	1427903647000
1584113820	1951445683	1427903718000
369048228	26729931	1427903779000
1674317623	2482179392	1427903970000
369048228	26729931	1427904042000
1663125457	995467531	1427904106000
84358380	51442315	1427904116000
23791197	904210339	1427904130000
1663125457	995467531	1427904176000
1674317623	2482179392	1427904221000
92274737	10228272	1427904250000
29050396	82136174	1427904320000
29050396	84358380	1427904320000
1036774746	23791197	1427904436000
248257339	96005647	1427904792000
2710304084	19976791	1427904879000
2710304084	1124722303	1427904879000
2710304084	1962437856	1427904879000
301909024	23791197	1427905319000
22245616	2710304084	1427905690000
435369507	379836293	1427905859000
435369507	2882546800	1427905859000
435369507	2909403579	1427905859000
2755711890	7996082	1427906146000
16645602	15243058	1427906384000
1337757516	16350933	1427906599000
335630706	1337757516	1427906697000
85148599	1219839072	1427906836000
1566701912	2372229692	1427906930000
1693561842	17962098	1427907553000
1191334208	978270416	1427907676000
1684235696	1190505763	1427907953000
2364350539	2364350539	1427907999000
1684235696	1190505763	1427908006000
2975093331	2875452885	1427908036000
301951865	301306806	1427908485000
1566701912	2372229692	1427908664000
1425533737	155857134	1427908743000
248257339	603884167	1427908926000
62518724	106144676	1427909112000
2710304084	19976791	1427909473000
2710304084	1124722303	1427909473000
22245616	2710304084	1427909528000
573833169	912457309	1427909623000
87287396	2262817237	1427911219000
17595659	372786313	1427911518000
2710304084	19976791	1427911789000
2710304084	1124722303	1427911789000
465900851	295608887	1427911881000
20523846	577401044	1427912044000
22245616	2710304084	1427912193000
22245616	325458905	1427912388000
93619190	314630469	1427912712000
93619190	476766533	1427912712000
634847490	1070190883	1427912717000
22245616	325458905	1427912832000
1663125457	995467531	1427913168000
2360997500	274708552	1427913432000
158493750	195415139	1427913972000
619889513	10613562	1427913996000
2692332378	226237721	1427914168000
2438686200	43720896	1427914192000
387861470	16548023	1427914285000
1663125457	995467531	1427914314000
619889513	2230540587	1427914374000
861696583	1124722303	1427914499000
1153838384	2779208397	1427914650000
1153838384	574033299	1427914759000
1153838384	2779208397	1427914759000
300430009	10228272	1427915003000
783982	142268120	1427915216000
17595659	372786313	1427915555000
17595659	315130421	1427915630000
372786313	17595659	1427915682000
2915241221	131212643	1427915810000
17595659	372786313	1427915849000
17595659	315130421	1427915900000
1849371072	1029142980	1427916016000
542131244	45110535	1427916471000
542131244	2575701944	1427916471000
17595659	372786313	1427916487000
2622725797	1281603361	1427916638000
504914052	504914052	1427916775000
372259536	84645307	1427916789000
504914052	504914052	1427916853000
87576856	1424721133	1427916878000
1686629078	507251841	1427917558000
955449966	3024397739	1427917936000
2884051694	122556667	1427918357000
216456152	10228272	1427918381000
216456152	10228272	1427918561000
955449966	10228272	1427918743000
310455276	112567773	1427919094000
17595659	372786313	1427919214000
302496178	504714381	1427919296000
2438686200	222806880	1427919370000
803291118	362565198	1427919666000
619889513	504714381	1427919735000
1496396166	15880163	1427920302000
380904886	803291118	1427920407000
132238009	450544730	1427920470000
17595659	372786313	1427920914000
407339193	1416349142	1427920958000
2935313757	23791197	1427921285000
237733898	2955158549	1427921429000
421400887	1663125457	1427921480000
2344006543	457745217	1427921489000
504914052	504914052	1427922649000
457745217	2344006543	1427923347000
2344006543	457745217	1427923384000
2344006543	457745217	1427923832000
37684607	2808379121	1427923859000
16912185	2808379121	1427923859000
387861470	1262447358	1427923862000
1262447358	387861470	1427923905000
814187821	966148056	1427923995000
387861470	1262447358	1427924018000
3018964824	100485425	1427924123000
3018964824	100485425	1427924199000
3018964824	3018964824	1427924199000
599359597	479092619	1427924387000
2344006543	457745217	1427924407000
1556116963	249897759	1427924434000
1556116963	2808379121	1427924434000
15726473	42075966	1427924562000
15726473	426114482	1427924562000
15726473	2385532513	1427924562000
599359597	479092619	1427924572000
16912185	1556116963	1427924828000
189259363	285400205	1427925054000
3064295073	388934098	1427925358000
274654144	783982	1427925394000
249897759	2808379121	1427925420000
504914052	504914052	1427925436000
301468529	515282359	1427925628000
16912185	249897759	1427925686000
577401044	614754689	1427925724000
190476541	381527493	1427925881000
504914052	504914052	1427925906000
233974683	381527493	1427925916000
599359597	479092619	1427925925000
22293882	381527493	1427926063000
381527493	190476541	1427926100000
381527493	233974683	1427926103000
381527493	22293882	1427926105000
63451891	180849058	1427926324000
191603616	381527493	1427926473000
1849371072	614754689	1427926520000
381527493	191603616	1427926701000
372259536	84645307	1427926792000
1849371072	614754689	1427926943000
912457309	573833169	1427927402000
552518177	274794931	1427927403000
2561309329	702541567	1427927468000
46976620	249897759	1427927470000
369928641	10228272	1427927926000
577401044	614754689	1427927989000
912457309	473324413	1427928011000
912457309	573833169	1427928011000
577401044	614754689	1427928212000
203961798	51736879	1427928215000
357405182	128215040	1427928284000
577401044	614754689	1427928712000
